Stage3, S7_P3, SHORT_ACTION, SHORT_6, 0.0, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_7, 0.0, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_8, 0.0, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_9, 0.0, 0.03269670175091142
Stage3, S7_P3, ST_ACTION, OPTION, 200000.0, 0.03269670175091142
Stage3, S7_P3, ST_ACTION, RESTRICT, 0.0, 0.03269670175091142
Stage3, S7_P3, ST_ACTION, SPOT, 50000.0, 0.03269670175091142
Stage3, S8_P3, EXP_VOP_ACTION, DESAL, 669600.0000000956, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_1, 257600.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_10, 0.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_2, 172799.99999990442, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_3, 0.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_4, 0.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_5, 0.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_6, 0.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_7, 0.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_8, 0.0, 0.06076823980876674
Stage3, S8_P3, SHORT_ACTION, SHORT_9, 0.0, 0.06076823980876674
Stage3, S8_P3, ST_ACTION, OPTION, 200000.0, 0.06076823980876674
Stage3, S8_P3, ST_ACTION, RESTRICT, 0.0, 0.06076823980876674
Stage3, S8_P3, ST_ACTION, SPOT, 50000.0, 0.06076823980876674
Stage3, S9_P3, EXP_VOP_ACTION, DESAL, 669599.9999999806, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_1, 257600.00000000003, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_10, 0.0, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_2, 257600.00000000003, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_3, 115200.00000001944, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_4, 0.0, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_5, 0.0, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_6, 0.0, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_7, 0.0, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_8, 0.0, 0.04203861653688611
Stage3, S9_P3, SHORT_ACTION, SHORT_9, 0.0, 0.04203861653688611
Stage3, S9_P3, ST_ACTION, OPTION, 200000.0, 0.04203861653688611
Stage3, S9_P3, ST_ACTION, RESTRICT, 0.0, 0.04203861653688611
Stage3, S9_P3, ST_ACTION, SPOT, 50000.0, 0.04203861653688611
Stage3, S10_P3, EXP_VOP_ACTION, DESAL, 669600.0000000928, 0.014012872178962035
Stage3, S10_P3, SHORT_ACTION, SHORT_1, 257600.0, 0.014012872178962035
Stage3, S10_P3, SHORT_ACTION, SHORT_10, 0.0, 0.014012872178962035
Stage3, S10_P3, SHORT_ACTION, SHORT_2, 257600.0, 0.014012872178962035
Stage3, S10_P3, SHORT_ACTION, SHORT_3, 257600.0, 0.014012872178962035
